OG	raw_p	FDR_p	Socmean-Solmean	taxa
OG_17495	0.16	0.4896	-7.772	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_14663	0.16	0.4896	-0.4095	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAL,LMAR,LPAU,LVIE
OG_10553	0.16	0.4896	10.41	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAL,LMAR,LPAU,LVIE
OG_18170	0.1601	0.4897	-0.2285	AAUR,APUR,AVIR,HLIG,LFIG,LMAL,LMAR,LPAU,LVIE
OG_11985	0.1602	0.4898	2.855	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAL,LMAR,LPAU,LVIE
OG_11202	0.1604	0.4901	-0.4093	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAL,LMAR,LPAU,LVIE
OG_17811	0.1604	0.4901	-92.03	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAL,LMAR,LPAU,LVIE
OG_18694	0.1605	0.4901	-464.6	AAUR,APUR,HLIG,LFIG,LLEU,LMAL,LMAR,LPAU,LVIE
OG_11791	0.1606	0.4901	-4.265	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAL,LMAR,LPAU,LVIE
OG_11204	0.1606	0.4901	-0.3964	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAL,LMAR,LPAU,LVIE
OG_10654	0.1607	0.4902	-3.095	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAL,LMAR,LPAU,LVIE
OG_15562	0.1608	0.4902	-1.959	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAL,LMAR,LPAU,LVIE
OG_14354	0.161	0.4903	-461.2	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAL,LMAR,LPAU,LVIE
OG_14213	0.161	0.4903	6.238	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAL,LMAR,LPAU,LVIE
OG_13086	0.1611	0.4903	0.7891	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAL,LMAR,LPAU,LVIE
OG_12122	0.1611	0.4903	-4.339	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAL,LMAR,LPAU,LVIE
