OG	raw_p	FDR_p	Socmean-Solmean	taxa
OG_16219	0.002653	0.3691	11.28	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_10968	0.002704	0.3691	3.679	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_10254	0.002706	0.3691	68.7	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_11498	0.002719	0.3691	2.095	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_18257	0.00273	0.3691	-6.402	APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_16664	0.002754	0.3691	10.29	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_14066	0.002754	0.3691	23.19	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_12752	0.002758	0.3691	-6.919	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_10317	0.002773	0.3691	-2.149	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_17353	0.002858	0.371	34.77	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_12544	0.002884	0.371	-18.73	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_15999	0.002979	0.3757	11.68	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_11683	0.003018	0.3757	6.006	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_15954	0.003151	0.3777	59.64	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_10708	0.003233	0.3777	3.497	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_12111	0.003255	0.3777	11.58	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_12593	0.003334	0.3777	-75.5	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_16535	0.003343	0.3777	-5.858	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_16943	0.003353	0.3777	14.69	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LVIE
OG_16130	0.003377	0.3777	11.49	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
