APUR	AAUR	AVIR	HLIG	LLEU	LFIG	LMAR	LPAU	LVIE	LMAL	LCAL
OG_15993	33.2573546400711	48.6379161657197	30.418780564818	26.6391888574549	35.3743700985705	22.3191802427502	18.4261911731595	29.8734711031504	37.6246146925394	30.2112602010177	30.7558356579262
OG_15992	0.804730744649448	1.66229078394327	1.09424560951751	0.347214498233464	0.11623347998445	1.06096176064661	2.03581323159517	0.986101006673243	0.227924076203315	0.291041183939582	0.920768680594327
OG_15991	9.32115925054457	9.98410187305572	41.9502803813472	12.6854919559359	31.8302010338049	17.5625965575579	16.497575175235	24.7535105303705	17.6967976440613	20.4815095950002	19.0677111613919
OG_15990	14.5455678895101	10.8114137518712	10.2847013820724	4.45432883647637	3.25279434807339	5.26330604013106	7.73906931960722	6.74184499906741	4.92003723831489	5.78059863378475	6.07307798289413
OG_15997	24.2697347053449	16.936622706448	58.3777728666583	28.4047432454802	15.7847407769763	74.1113483739413	73.6236770014763	70.5615872494177	64.8453286847819	40.989243034408	50.9511358006117
OG_15996	36.1098969719361	44.0429526577624	100.752637988915	59.0148927012704	48.3236578758092	45.5409222260479	36.3346616385693	40.4235966858733	122.483262840576	76.7610944300971	16.0342536111395
OG_15995	71.7414743240406	44.7951279395011	98.9429313066225	199.190794546431	91.5794573164524	179.879812206918	205.646227501181	134.779483858032	126.402520939046	242.975211131323	338.142134457399
OG_15994	3.54376379264524	5.12918930611069	4.7238819873767	5.34638727920511	4.25157498879949	4.74546436226522	4.34624602880957	8.22461917018613	5.13082911959737	4.73444294251725	7.49457827644556
OG_13890	18.4706239927414	28.5130448647743	11.237133675894	10.6148084002526	11.2491979008136	17.1459206032541	15.4036924171644	9.47661548876382	9.05555899930392	6.80015342261771	10.3140219468807
OG_15999	7.73003383835395	8.07209015296171	28.8115429580332	5.03367351390861	54.4820702595603	15.5316105672543	22.9294213087261	18.6952291052909	16.7782032132559	22.6336387047572	32.4129948629287
OG_15998	0	0.00711660494034616	0.157915332707108	0.00759298339437654	0.0941462760025813	0.0104240749154434	0.0649370208894273	0.179309038782069	0.0112922835293405	0.275475575503486	0.0630614663292486
OG_13327	14.1424618244374	16.8051453215626	26.5138686045494	7.27736814747935	6.14146249914459	7.58522810560866	2.7303973854748	7.48106277050467	8.79698974028109	3.18277267767835	8.82977710922228
OG_13324	1001.18360621025	813.034885503268	1272.85946069556	1243.67727494402	1318.81579352033	1171.54383925183	1651.88292522408	1404.51355672516	1292.58051267584	1258.50813926811	1354.90423436524
OG_19916	0.563432526023846	NA	NA	1.06150713802782	3.03150801598047	NA	NA	NA	NA	12.0110548756668	NA
OG_13325	10.8574477808674	4.02319044821629	2.97970819351765	2.07894203370969	4.75594184328738	5.48889135356214	4.86110442949171	9.70102846454779	4.92832239638907	2.92861034382918	3.25525927858401
OG_18975	0.0166252293434154	1.03106501561074	0.0983560390299938	0.83774751706009	1.35367642598864	0.426026253132482	0.109209677054839	0.0114255014354067	0.387957192995972	0.383683199460841	NA
OG_19910	59.9782970593486	NA	NA	NA	16.7065033489851	20.0660718443577	NA	19.9920443203889	19.2512154941737	8.69460069822911	NA
OG_10330	NA	NA	NA	NA	NA	2.8828819967905	0.523254390253368	7.84813850155331	0.0112922835293405	0.220193973906998	0.981706170878135
OG_20485	NA	0.00711660494034616	0.00707511983663069	NA	NA	NA	NA	0.0114255014354067	NA	NA	0.00755010427898786
OG_20484	NA	59.8063611251472	118.201946982499	NA	NA	NA	NA	NA	NA	NA	NA
OG_20487	NA	0.798645651268863	0.00707511983663069	NA	NA	0.0104240749154434	0.00696725353797274	NA	NA	0.627539786355554	NA
OG_20486	NA	15.5273096628976	NA	NA	NA	NA	14.5324099249401	28.8763065024335	24.2358630787027	NA	NA
OG_14534	570.749364177831	540.457660151782	228.223404879784	587.814026314332	248.720454472526	150.048551321858	186.733292634455	623.182752447313	501.475309774545	666.225274027665	379.775969741767
OG_20480	NA	0.750677579166227	NA	0.00759298339437654	NA	NA	NA	0.53737233614977	NA	NA	0.00755010427898786
OG_20483	NA	0.00711660494034616	NA	NA	NA	NA	0.00696725353797274	NA	NA	NA	NA
OG_20482	NA	0.87004311709005	1.96225515504993	NA	NA	NA	NA	NA	NA	NA	NA
OG_20489	1.63370437610442	543.657306215115	3.0159461836857	NA	NA	NA	NA	7.88953264534453	NA	NA	NA
OG_20488	0.0855640787477598	0.119759438421348	NA	0.00759298339437654	NA	NA	NA	NA	NA	NA	NA
OG_21836	NA	NA	NA	NA	NA	NA	1.23248783445677	NA	NA	NA	1.3806749054077
OG_10970	3.06440028224238	4.5042061608553	17.2196411859546	3.73048988300543	16.5582974950157	5.08202063530053	6.42027752016242	3.00674202864766	6.53633216926278	3.07423540548815	3.56024876003627
OG_10103	7.47904415004793	1.34008286739457	2.35705593463848	0.332012556005145	0.0298849592143524	0.0104240749154434	0.0713527086722927	13.1262086380263	NA	1.9559433865426	0.00755010427898786
OG_17734	282.807700639093	472.769063062834	133.75485210268	213.244678743868	185.854799702503	210.049985227375	242.116706058675	265.662633530298	740.281623619069	116.020616357384	271.993424086696
OG_17737	36.7568359772679	60.8218832381922	38.470098207063	41.2338066918938	19.3584863997492	43.8792515982375	69.949574294552	33.5495348153492	20.3761372724475	32.7549826739436	31.5721652472387
OG_17736	65.7191257493547	24.5913212579933	22.4092570763503	24.9859568632233	NA	64.1795388915864	78.0815628450512	49.8938982250002	22.9355322693004	39.2084405823534	62.1015563916701
