OG	Name.AAUR	Sociality.AAUR	antTPM.AAUR	headTPM.AAUR	dufTPM.AAUR	abdTPM.AAUR	Name.APUR	Sociality.APUR	antTPM.APUR	headTPM.APUR	dufTPM.APUR	abdTPM.APUR	Name.LCAL	Sociality.LCAL	antTPM.LCAL	headTPM.LCAL	dufTPM.LCAL	abdTPM.LCAL	Name.LFIG	Sociality.LFIG	antTPM.LFIG	headTPM.LFIG	dufTPM.LFIG	abdTPM.LFIG	Name.LLEU	Sociality.LLEU	antTPM.LLEU	headTPM.LLEU	dufTPM.LLEU	abdTPM.LLEU	Name.LMAR	Sociality.LMAR	antTPM.LMAR	headTPM.LMAR	dufTPM.LMAR	abdTPM.LMAR	Name.LPAU	Sociality.LPAU	antTPM.LPAU	headTPM.LPAU	dufTPM.LPAU	abdTPM.LPAU	Name.LVIE	Sociality.LVIE	antTPM.LVIE	headTPM.LVIE	dufTPM.LVIE	abdTPM.LVIE	TPMmax.8sp	TPMmax.4social	TPMmax.4solitary	tau.8sp4tissues	tau.4soc4tissues	tau.4sol4tissues
OG_19010	AAUR_07186-RA	soc	2.8902	0.8851	0.9595	0.297	APUR_09105-RA	sol	2.3749	2.9513	4.7658	1.7974	LCAL_06658-RA	soc	1.3031	7.476	5.2297	2.7343	LFIG_00126-RA	sol	3.9628	5.5636	0.893	4.9075	LLEU_07970-RA	sol	1.4401	2.3087	0.5288	0.6745	LMAR_05980-RA	soc	7.7759	2.9197	3.0489	2.3645	LPAU_01923-RA	soc	4.3605	8.3191	1.4017	5.6839	LVIE_11047-RA	sol	4.9739	2.5472	7.652	1.8381	8.3191	8.3191	7.652	0.618	0.6047	0.6382
OG_15240	AAUR_03136-RA	soc	11.3809	5.7282	1.4324	3.8069	APUR_06061-RA	sol	7.6232	3.5108	3.2606	2.2937	LCAL_00965-RA	soc	2.6539	2.5986	1.5093	1.8886	LFIG_05518-RA	sol	4.0791	5.1071	1.3233	2.7894	LLEU_05530-RA	sol	2.6616	2.4806	2.7092	1.2856	LMAR_05585-RA	soc	4.9853	3.5061	3.088	2.4506	LPAU_09880-RA	soc	3.6389	3.6519	1.3347	3.7305	LVIE_09843-RA	sol	2.7164	1.754	0.8868	3.8399	11.3809	11.3809	7.6232	0.7326	0.7305	0.6441
OG_15485	AAUR_05755-RA	soc	2.1744	4.0023	1.2471	4.5551	APUR_02771-RA	sol	0.7356	6.7756	0.7226	11.2681	LCAL_03362-RA	soc	0.7272	18.092	0.8214	22.9013	LFIG_07668-RA	sol	2.1772	6.181	0.1477	7.0149	LLEU_06220-RA	sol	4.8633	13.2029	0.6178	7.6882	LMAR_07288-RB	soc	1.9213	4.845	0.3869	10.9311	LPAU_07330-RA	soc	2.7374	3.3676	2.3303	9.0905	LVIE_04317-RA	sol	1.1706	1.7519	0	1.0015	22.9013	22.9013	13.2029	0.8133	0.8043	0.7368
OG_15835	AAUR_06267-RA	soc	12.6869	16.4935	8.8316	3.4156	APUR_03857-RA	sol	135.1351	183.564	146.283	121.7564	LCAL_07158-RA	soc	3.4704	6.844	3.2669	2.6567	LFIG_04515-RA	sol	5.4131	13.6291	2.4601	3.3283	LLEU_07186-RA	sol	4.3751	6.5499	2.5018	3.0803	LMAR_02158-RA	soc	20.4794	19.8737	2.0534	9.7467	LPAU_09253-RA	soc	2.8432	8.8843	2.6579	1.3484	LVIE_01675-RB	sol	3.6481	6.6402	7.4157	2.2598	183.564	20.4794	183.564	0.8963	0.658	0.8313
OG_17892	AAUR_06202-RA	soc	104.1797	4.3191	0	0.0082	APUR_03789-RB	sol	22.555	0.2452	0	0.3868	LCAL_07390-RA	soc	20.1486	1.1109	0	0.2641	LFIG_04299-RA	sol	44.9713	8.0617	3.0518	6.8491	LLEU_07095-RA	sol	33.4934	0	0	0.1693	LMAR_07765-RA	soc	4.5363	0.2228	0.3692	0.3589	LPAU_09014-RA	soc	10.2713	0.2542	0.0766	0.0078	LVIE_01565-RA	sol	41.6278	0.4088	0	0.3448	104.1797	104.1797	44.9713	0.9368	0.9732	0.8263
OG_14091	AAUR_11141-RB	soc	17.7753	17.1523	4.4259	8.4071	APUR_10535-RA	sol	13.238	9.8538	5.8877	6.3585	LCAL_00272-RA	soc	13.6776	9.7446	5.8246	6.9353	LFIG_10030-RA	sol	13.5601	14.6767	6.5632	7.5895	LLEU_10710-RA	sol	17.0487	14.9919	6.7743	6.2466	LMAR_04071-RA	soc	9.6289	10.8178	5.2527	4.7449	LPAU_04783-RA	soc	16.549	17.1903	5.4695	5.5649	LVIE_08382-RA	sol	14.6042	14.8406	5.1496	4.5728	17.7753	17.7753	17.0487	0.4495	0.4697	0.4334
OG_13352	AAUR_11637-RA	soc	35.3548	261.8836	200.9324	308.6791	APUR_04349-RA	sol	85.1015	331.0596	173.8182	320.3053	LCAL_09551-RA	soc	116.2219	130.3497	9.2776	177.3267	LFIG_03415-RA	sol	91.5023	173.7953	174.114	210.3918	LLEU_09719-RA	sol	72.4548	270.9052	14.5887	378.4201	LMAR_00765-RA	soc	88.7646	61.2155	40.2548	156.6481	LPAU_06206-RA	soc	94.9866	357.9631	26.4911	520.6023	LVIE_05495-RA	sol	133.484	266.5867	427.2805	381.4515	520.6023	520.6023	427.2805	0.6548	0.7354	0.5198
OG_13477	AAUR_08936-RA	soc	116.2219	196.4905	139.48	173.7458	APUR_07770-RA	sol	157.0505	190.5415	343.8265	207.1824	LCAL_08757-RA	soc	82.8661	164.8984	284.423	170.8718	LFIG_09047-RA	sol	78.1533	265.7009	137.5602	218.8196	LLEU_08868-RA	sol	122.3235	180.0269	275.1792	118.9886	LMAR_06658-RA	soc	156.3734	161.7764	173.2644	192.5247	LPAU_08602-RA	soc	87.1779	142.0307	126.4021	170.1581	LVIE_09303-RA	sol	80.4773	148.9393	145.5172	116.2538	343.8265	284.423	343.8265	0.5326	0.4716	0.5264
OG_12935	AAUR_03826-RA	soc	570.5207	211.947	470.7957	301.6885	APUR_10187-RA	sol	886.1972	261.0825	208.0615	345.3149	LCAL_04623-RA	soc	266.7933	181.0353	75.8659	148.1913	LFIG_00650-RA	sol	397.5522	139.4576	198.3541	192.9656	LLEU_01383-RA	sol	745.6258	202.4165	66.9195	330.5892	LMAR_05215-RA	soc	423.3508	223.0832	66.2385	154.5297	LPAU_02727-RA	soc	557.8662	207.0889	21.3589	146.1259	LVIE_06428-RA	sol	728.1575	75.1255	2.0037	44.4831	886.1972	570.5207	886.1972	0.7101	0.5962	0.7037
OG_13722	AAUR_01035-RA	soc	0.3028	3.7185	4.9368	0.1709	APUR_04611-RB	sol	2.519	3.9314	7.9029	2.0794	LCAL_01056-RA	soc	2.5978	2.7504	40.145	2.0248	LFIG_01773-RA	sol	3.4291	8.1316	10.8575	2.7776	LLEU_08571-RA	sol	24.3958	9.5889	11.1033	2.4636	LMAR_00344-RA	soc	6.6684	10.9834	13.6859	13.0513	LPAU_05971-RA	soc	3.0677	2.8105	13.986	1.9509	LVIE_02776-RB	sol	2.5456	1.4908	31.1989	1.229	40.145	40.145	31.1989	0.8326	0.8627	0.7982
